// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.892981;0.290398;0.402953;0.001561;0.001502;0.003985;-0.739990;-0.198486;0.507324;-0.131552;-0.684381;0.106250;-0.709245
28598;9.877192;0.343940;0.334421;-0.052295;0.022550;-0.000363;-0.740234;-0.193359;0.506836;-0.131873;-0.684190;0.106532;-0.709326
28599;9.784884;0.213143;0.332148;-0.102660;0.001681;-0.020472;-0.746338;-0.197998;0.512207;-0.132573;-0.684086;0.107021;-0.709223
28600;9.813234;-0.038980;0.466567;-0.092301;-0.014251;-0.027345;-0.746094;-0.198730;0.514404;-0.133248;-0.684093;0.107427;-0.709029
28601;9.911267;-0.156098;0.481942;-0.039627;0.007953;-0.024574;-0.739258;-0.187744;0.503906;-0.133620;-0.684022;0.107519;-0.709013
28602;9.810234;-0.150601;0.467189;0.011285;0.030941;-0.009685;-0.744629;-0.193359;0.506348;-0.133623;-0.683856;0.107381;-0.709194
28603;9.779083;0.023037;0.504316;0.036274;0.012865;0.002781;-0.742676;-0.198486;0.507080;-0.133382;-0.683808;0.107199;-0.709312
28604;9.774294;0.069066;0.705856;0.043470;-0.004384;0.001112;-0.743164;-0.188965;0.509521;-0.133085;-0.683867;0.106995;-0.709343
28605;9.935778;0.183404;0.735663;0.057214;0.002458;-0.001207;-0.746338;-0.200439;0.513184;-0.132722;-0.683887;0.106696;-0.709436
28606;9.977157;0.158195;0.499396;0.043220;0.002258;-0.009864;-0.753174;-0.202637;0.506836;-0.132489;-0.683885;0.106432;-0.709521
28607;9.950584;0.157524;0.312518;0.030904;-0.015808;-0.027824;-0.741455;-0.202881;0.499023;-0.132435;-0.683982;0.106162;-0.709478
28608;9.878334;0.076728;0.285888;0.018494;-0.006635;-0.023844;-0.739258;-0.196045;0.508789;-0.132405;-0.684019;0.105989;-0.709474
28609;9.740787;0.091909;0.308017;0.008139;0.011547;-0.013769;-0.742920;-0.197998;0.507324;-0.132377;-0.683935;0.105928;-0.709569
28610;9.779241;0.138916;0.516735;-0.014984;-0.008090;-0.005310;-0.740234;-0.194824;0.508057;-0.132401;-0.683940;0.106088;-0.709536
28611;9.982737;0.241090;0.641191;-0.029935;-0.008402;-0.013094;-0.750000;-0.191650;0.506348;-0.132551;-0.683930;0.106298;-0.709486
28612;9.932674;0.120066;0.570010;-0.042111;0.004816;-0.018666;-0.744629;-0.198975;0.502930;-0.132808;-0.683816;0.106536;-0.709512
28613;9.823472;0.040227;0.419984;-0.019223;0.010309;-0.018235;-0.749268;-0.197266;0.508057;-0.132942;-0.683682;0.106644;-0.709600
28614;9.746218;0.112841;0.445733;-0.019964;-0.010577;-0.010434;-0.749268;-0.198730;0.500977;-0.132987;-0.683661;0.106837;-0.709583
28615;9.865714;0.204309;0.538411;-0.041833;-0.009667;-0.005162;-0.740479;-0.199707;0.508545;-0.133126;-0.683604;0.107208;-0.709556
28616;9.928575;0.278321;0.530739;-0.073802;0.013512;0.011827;-0.747803;-0.200684;0.504883;-0.133388;-0.683362;0.107812;-0.709648
28617;9.910023;0.239946;0.465456;-0.119718;0.018516;0.022022;-0.744629;-0.202637;0.507812;-0.133838;-0.683012;0.108754;-0.709757
28618;9.777681;0.279335;0.466424;-0.153048;0.018263;0.031733;-0.736084;-0.202393;0.500488;-0.134433;-0.682622;0.109932;-0.709838
28619;9.862757;0.310019;0.417557;-0.196004;0.037277;0.034348;-0.742920;-0.193115;0.506836;-0.135346;-0.682100;0.111347;-0.709946
28620;9.734126;0.291918;0.309673;-0.218906;0.044966;0.021698;-0.753418;-0.201660;0.505859;-0.136401;-0.681522;0.112775;-0.710074
