// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;7.817652;-0.377272;5.947391;-0.008850;-0.011432;-0.000015;-0.811035;0.119873;0.034424;0.081443;-0.443945;-0.019043;-0.892142
28598;7.809747;-0.390176;5.960177;-0.002962;-0.008180;0.000151;-0.812744;0.120361;0.038086;0.081432;-0.444007;-0.019025;-0.892112
28599;7.797380;-0.421891;5.968515;0.005092;-0.008234;-0.003161;-0.817383;0.120850;0.041260;0.081426;-0.444069;-0.019080;-0.892081
28600;7.791906;-0.412861;5.939988;0.005706;-0.008470;-0.005310;-0.811768;0.121094;0.043701;0.081406;-0.444127;-0.019147;-0.892053
28601;7.816036;-0.446028;5.923584;-0.002091;-0.010225;-0.006461;-0.810303;0.134033;0.030762;0.081350;-0.444202;-0.019161;-0.892020
28602;7.837007;-0.448566;5.916582;-0.003785;-0.013439;-0.005530;-0.812256;0.122559;0.037109;0.081294;-0.444304;-0.019159;-0.891974
28603;7.844969;-0.483536;5.918725;-0.012177;-0.013507;-0.007722;-0.813232;0.118652;0.039551;0.081193;-0.444413;-0.019100;-0.891931
28604;7.819854;-0.418594;5.941782;-0.013153;-0.014841;-0.007889;-0.814941;0.128174;0.039795;0.081089;-0.444534;-0.019029;-0.891881
28605;7.819224;-0.390925;5.917144;-0.014959;-0.012494;-0.013554;-0.814697;0.120117;0.047363;0.080938;-0.444638;-0.018963;-0.891844
28606;7.813079;-0.406125;5.896951;-0.010680;-0.013058;-0.013948;-0.823730;0.115967;0.034912;0.080799;-0.444744;-0.018929;-0.891805
28607;7.857977;-0.391311;5.889378;-0.002843;-0.007134;-0.013451;-0.812012;0.115479;0.031738;0.080696;-0.444803;-0.018946;-0.891785
28608;7.895347;-0.415933;5.919719;-0.000479;0.002729;-0.014642;-0.810791;0.119629;0.040771;0.080594;-0.444790;-0.018978;-0.891799
28609;7.892279;-0.461878;5.939005;-0.008230;0.016790;-0.013711;-0.814453;0.121094;0.041504;0.080474;-0.444682;-0.018937;-0.891865
28610;7.811363;-0.374936;5.922702;-0.021379;0.025067;-0.007226;-0.810791;0.116943;0.039062;0.080357;-0.444526;-0.018762;-0.891957
28611;7.843477;-0.349441;5.878156;-0.006115;0.019532;-0.010622;-0.822266;0.125732;0.037354;0.080271;-0.444400;-0.018717;-0.892029
28612;7.870299;-0.364558;5.917204;-0.016351;0.031821;-0.003637;-0.814697;0.117188;0.033936;0.080201;-0.444196;-0.018564;-0.892139
28613;7.764730;-0.424382;5.896503;-0.008149;0.030384;-0.001006;-0.819092;0.120117;0.039795;0.080176;-0.443999;-0.018467;-0.892242
28614;7.689688;-0.475471;5.902296;-0.016206;0.029180;-0.003429;-0.816406;0.120850;0.030273;0.080107;-0.443820;-0.018316;-0.892341
28615;7.769557;-0.443734;5.833857;-0.010232;0.030582;-0.010478;-0.806152;0.117188;0.039062;0.080012;-0.443614;-0.018223;-0.892453
28616;7.769163;-0.368706;5.842541;-0.010673;0.017959;-0.014043;-0.814941;0.116455;0.036621;0.079882;-0.443509;-0.018150;-0.892518
28617;7.776776;-0.380564;5.886193;-0.016094;0.021109;-0.008306;-0.813721;0.114258;0.035645;0.079778;-0.443394;-0.018014;-0.892588
28618;7.710706;-0.417176;5.956741;-0.031969;0.041483;-0.006428;-0.803223;0.115234;0.032471;0.079629;-0.443138;-0.017744;-0.892734
28619;7.677505;-0.428453;5.981876;-0.022461;0.050656;-0.006833;-0.813721;0.127441;0.041016;0.079508;-0.442786;-0.017537;-0.892923
28620;7.675918;-0.407091;6.072973;-0.017093;0.068165;-0.009632;-0.821533;0.123291;0.039062;0.079414;-0.442321;-0.017351;-0.893165
28621;7.801022;-0.393329;6.040341;-0.020525;0.067995;-0.010140;-0.818359;0.118164;0.036377;0.079307;-0.441846;-0.017144;-0.893414
28622;7.850968;-0.426121;5.995818;-0.030321;0.069849;-0.014017;-0.810059;0.123291;0.036621;0.079124;-0.441349;-0.016887;-0.893681
28623;7.765851;-0.419185;5.994155;-0.033355;0.082349;-0.010954;-0.809326;0.124512;0.036865;0.078952;-0.440763;-0.016583;-0.893991
28624;7.816878;-0.375776;6.035026;-0.021428;0.065360;-0.004379;-0.822021;0.125488;0.030762;0.078874;-0.440301;-0.016353;-0.894230
28625;7.791335;-0.474112;6.142851;-0.020320;0.043984;-0.005461;-0.812012;0.127197;0.031250;0.078813;-0.439995;-0.016143;-0.894389
28626;7.702621;-0.459786;6.110018;-0.030558;0.055738;-0.000006;-0.823486;0.121826;0.027832;0.078747;-0.439598;-0.015825;-0.894596
28627;7.734057;-0.439214;6.036968;-0.013452;0.045081;-0.000193;-0.820557;0.121094;0.034668;0.078752;-0.439254;-0.015643;-0.894768
28628;7.775749;-0.425602;6.082105;0.007046;0.023084;-0.014287;-0.806641;0.127197;0.030273;0.078716;-0.439078;-0.015693;-0.894857
28629;7.768673;-0.367253;5.993510;-0.002791;0.021971;-0.011814;-0.809082;0.123535;0.029785;0.078647;-0.438903;-0.015649;-0.894949
28630;7.780143;-0.382315;6.097194;0.007625;0.014476;-0.015149;-0.819580;0.120117;0.028076;0.078582;-0.438780;-0.015712;-0.895014
28631;7.721743;-0.426856;6.113556;-0.021689;0.014945;-0.018791;-0.820557;0.119141;0.028320;0.078397;-0.438664;-0.015575;-0.895090
28632;7.680380;-0.447341;6.055429;-0.029421;0.011124;-0.018306;-0.806885;0.126221;0.037842;0.078185;-0.438576;-0.015384;-0.895154
28633;7.701467;-0.375794;6.056720;-0.017987;-0.001295;-0.019124;-0.819580;0.117676;0.028320;0.078008;-0.438624;-0.015290;-0.895148
28634;7.733656;-0.394842;6.153936;-0.015262;0.020084;-0.022416;-0.811279;0.117676;0.028320;0.077808;-0.438454;-0.015218;-0.895250
28635;7.577629;-0.433428;6.133478;-0.044047;0.051330;-0.016547;-0.815674;0.120850;0.024414;0.077525;-0.438068;-0.014892;-0.895469
28636;7.673260;-0.376904;5.994547;-0.039634;0.046631;-0.013517;-0.822998;0.118408;0.030762;0.077317;-0.437687;-0.014578;-0.895678
28637;7.808888;-0.372906;6.080874;-0.025448;0.050178;-0.022708;-0.811279;0.121338;0.027100;0.077096;-0.437304;-0.014422;-0.895887
