// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.511495;-0.475420;-2.039328;0.004683;0.015040;-0.005135;-0.532227;-0.217285;0.613281;-0.134321;-0.750456;0.203896;-0.614166
28598;9.492396;-0.445075;-2.041308;0.003627;0.010253;-0.003390;-0.531494;-0.217529;0.612549;-0.134333;-0.750414;0.203845;-0.614232
28599;9.514342;-0.416058;-2.090569;-0.000052;0.005354;0.002474;-0.535889;-0.216553;0.618652;-0.134331;-0.750382;0.203855;-0.614268
28600;9.540366;-0.434019;-2.080426;-0.006462;0.004118;0.001716;-0.533447;-0.217529;0.623047;-0.134370;-0.750351;0.203894;-0.614284
28601;9.525762;-0.445605;-2.036867;-0.006190;0.010688;0.005792;-0.530029;-0.206055;0.610107;-0.134398;-0.750281;0.203949;-0.614345
28602;9.520316;-0.488348;-2.053619;-0.000119;0.008021;0.002354;-0.533936;-0.218750;0.617188;-0.134403;-0.750237;0.203953;-0.614396
28603;9.520014;-0.458245;-2.039497;-0.001470;0.008514;-0.001575;-0.535889;-0.218262;0.617920;-0.134436;-0.750197;0.203940;-0.614443
28604;9.520891;-0.452423;-2.051447;-0.000226;0.010676;0.000877;-0.535156;-0.209229;0.617432;-0.134453;-0.750142;0.203933;-0.614508
28605;9.547611;-0.428658;-2.054534;0.002830;0.009348;-0.000162;-0.535889;-0.221680;0.623047;-0.134455;-0.750101;0.203905;-0.614568
28606;9.572755;-0.422031;-2.016842;0.008147;0.014960;-0.001850;-0.541748;-0.223877;0.613281;-0.134445;-0.750041;0.203831;-0.614668
28607;9.528631;-0.440433;-2.039373;0.003377;0.023617;-0.001270;-0.531738;-0.225342;0.607910;-0.134479;-0.749929;0.203772;-0.614816
28608;9.504237;-0.488159;-2.057245;-0.009548;0.023802;-0.004270;-0.528564;-0.220459;0.615234;-0.134613;-0.749808;0.203758;-0.614939
28609;9.472261;-0.487557;-2.055343;-0.013868;0.019162;0.000982;-0.534180;-0.221680;0.614502;-0.134736;-0.749699;0.203807;-0.615029
28610;9.525105;-0.517201;-2.047271;-0.017348;0.015443;0.004369;-0.531006;-0.217529;0.613525;-0.134855;-0.749601;0.203900;-0.615090
28611;9.551983;-0.457661;-2.050041;-0.012804;0.017471;0.004673;-0.543701;-0.213623;0.614258;-0.134944;-0.749499;0.203974;-0.615172
28612;9.568551;-0.414831;-1.964187;-0.002770;0.019789;0.004892;-0.534424;-0.223145;0.610352;-0.134973;-0.749396;0.203994;-0.615284
28613;9.542172;-0.445360;-1.942987;-0.006034;0.019942;0.008402;-0.538330;-0.219238;0.613281;-0.135013;-0.749280;0.204046;-0.615399
28614;9.499243;-0.452950;-1.992478;-0.029330;0.021984;0.007407;-0.539062;-0.218018;0.608643;-0.135209;-0.749125;0.204208;-0.615491
28615;9.526438;-0.464814;-1.992804;-0.049027;0.027802;0.007111;-0.529785;-0.222168;0.614502;-0.135541;-0.748916;0.204460;-0.615589
28616;9.520445;-0.517715;-1.980151;-0.044283;0.028338;0.002358;-0.538574;-0.223877;0.613037;-0.135868;-0.748723;0.204658;-0.615685
28617;9.566079;-0.569974;-1.949130;-0.032431;0.027164;-0.000905;-0.536377;-0.226074;0.614990;-0.136136;-0.748549;0.204779;-0.615797
28618;9.522799;-0.617582;-1.984353;-0.021529;0.021208;0.001633;-0.529297;-0.226562;0.610352;-0.136306;-0.748411;0.204873;-0.615897
28619;9.503186;-0.557725;-1.972851;-0.005669;0.013122;0.004951;-0.536377;-0.212891;0.616455;-0.136332;-0.748326;0.204926;-0.615977
28620;9.517302;-0.558849;-1.986667;0.015854;0.006487;0.004361;-0.546143;-0.218994;0.616211;-0.136187;-0.748295;0.204879;-0.616062
28621;9.531286;-0.488196;-2.002126;0.021263;0.004058;-0.001038;-0.540527;-0.221680;0.611816;-0.136035;-0.748283;0.204778;-0.616143
28622;9.532100;-0.410934;-2.015607;0.013807;0.007236;-0.002892;-0.534180;-0.218018;0.616943;-0.135953;-0.748253;0.204701;-0.616223
28623;9.526812;-0.380827;-2.033346;0.001640;0.013727;-0.006645;-0.534424;-0.218018;0.616455;-0.135973;-0.748200;0.204644;-0.616303
28624;9.517898;-0.384725;-1.969846;-0.011518;0.015435;-0.005955;-0.542236;-0.213379;0.609619;-0.136082;-0.748128;0.204651;-0.616364
28625;9.537951;-0.412869;-1.963546;-0.024683;0.014453;-0.007868;-0.538818;-0.213135;0.611816;-0.136282;-0.748031;0.204715;-0.616416
28626;9.534216;-0.476962;-2.005938;-0.033369;0.018172;-0.009578;-0.549072;-0.222412;0.608643;-0.136551;-0.747916;0.204801;-0.616467
28627;9.527180;-0.498271;-1.982653;-0.023320;0.008586;-0.007782;-0.544434;-0.218750;0.616943;-0.136759;-0.747837;0.204870;-0.616493
28628;9.535688;-0.467282;-2.016328;-0.001257;0.007045;-0.006619;-0.530518;-0.212158;0.613037;-0.136792;-0.747812;0.204824;-0.616533
28629;9.528928;-0.448513;-2.008156;0.015098;0.001340;-0.005517;-0.533691;-0.222168;0.612061;-0.136694;-0.747859;0.204698;-0.616539
28630;9.534574;-0.405979;-1.989569;0.030647;-0.001448;-0.009204;-0.543945;-0.221680;0.609375;-0.136556;-0.747937;0.204479;-0.616548
28631;9.526349;-0.363142;-1.955638;0.029066;0.000561;-0.009417;-0.544678;-0.219727;0.611572;-0.136437;-0.747974;0.204274;-0.616597
28632;9.545961;-0.356213;-1.951692;0.007322;0.003307;-0.008979;-0.531006;-0.217773;0.618652;-0.136451;-0.747974;0.204172;-0.616627
28633;9.535600;-0.397532;-2.001689;-0.008897;0.006343;-0.007261;-0.547363;-0.224121;0.613037;-0.136545;-0.747990;0.204133;-0.616600
28634;9.555522;-0.461645;-1.995936;-0.005656;0.008882;-0.009517;-0.533691;-0.222168;0.611572;-0.136683;-0.747945;0.204082;-0.616641
28635;9.528097;-0.459447;-1.964104;0.008097;0.004221;-0.013552;-0.539551;-0.217041;0.610596;-0.136738;-0.747982;0.203931;-0.616635
28636;9.516992;-0.470729;-2.001587;0.027271;-0.001302;-0.009760;-0.547119;-0.224365;0.612061;-0.136614;-0.748039;0.203718;-0.616663
28637;9.505070;-0.488676;-2.026285;0.041132;-0.005921;-0.009714;-0.534912;-0.221924;0.609863;-0.136441;-0.748119;0.203449;-0.616693
28638;9.504796;-0.452782;-2.027754;0.047041;-0.009756;-0.009305;-0.536865;-0.223877;0.615479;-0.136205;-0.748257;0.203151;-0.616676
28639;9.556645;-0.374583;-2.024716;0.035256;-0.004728;-0.011348;-0.538818;-0.217773;0.608154;-0.136067;-0.748372;0.202895;-0.616651
28640;9.569719;-0.307897;-2.027880;0.014006;0.003071;-0.010547;-0.536621;-0.221680;0.610596;-0.136048;-0.748389;0.202746;-0.616683
28641;9.580540;-0.299739;-1.975805;-0.003411;0.006617;-0.007344;-0.539795;-0.220703;0.607666;-0.136159;-0.748384;0.202696;-0.616682
28642;9.572810;-0.363724;-1.938981;-0.017450;0.010051;-0.003569;-0.538574;-0.216064;0.611572;-0.136351;-0.748314;0.202737;-0.616710
28643;9.580292;-0.416831;-1.944006;-0.021987;0.013412;0.001315;-0.545410;-0.219482;0.612061;-0.136499;-0.748233;0.202818;-0.616750
28644;9.548803;-0.482766;-1.956045;-0.019701;0.011179;0.004860;-0.550293;-0.207031;0.611816;-0.136646;-0.748132;0.202921;-0.616806
28645;9.531584;-0.471923;-1.998174;-0.013893;0.012693;0.006395;-0.537354;-0.219727;0.615967;-0.136629;-0.748001;0.202999;-0.616942
28646;9.525698;-0.484204;-2.001875;-0.013049;0.010929;0.001936;-0.537354;-0.221191;0.610352;-0.136721;-0.747969;0.203040;-0.616948
28647;9.526723;-0.478110;-2.013595;-0.009493;0.011996;-0.001315;-0.541016;-0.235107;0.608887;-0.136838;-0.747917;0.203051;-0.616981
28648;9.565510;-0.470868;-1.990978;-0.003577;0.014668;-0.006319;-0.535156;-0.216553;0.615234;-0.137102;-0.747847;0.203022;-0.617017
28649;9.559222;-0.488194;-1.980226;-0.001395;0.020487;0.000958;-0.543701;-0.220459;0.618652;-0.137089;-0.747793;0.202990;-0.617096
28650;9.507465;-0.458717;-1.983369;-0.001788;0.012728;0.002046;-0.538086;-0.218994;0.610107;-0.137102;-0.747752;0.202992;-0.617142
28651;9.527928;-0.447410;-1.991545;0.008132;0.008498;0.003633;-0.540527;-0.217529;0.610352;-0.137037;-0.747729;0.202953;-0.617197
28652;9.514264;-0.448240;-1.974833;0.003343;0.007965;0.007025;-0.532715;-0.221436;0.608398;-0.136969;-0.747686;0.202964;-0.617261
28653;9.540871;-0.425443;-1.977874;-0.012529;0.009517;0.009080;-0.547607;-0.219727;0.603760;-0.137037;-0.747649;0.203060;-0.617259
28654;9.513950;-0.384122;-1.959539;-0.032762;0.012923;0.009594;-0.535400;-0.221191;0.608154;-0.137248;-0.747459;0.203290;-0.617366
28655;9.566642;-0.413911;-1.951679;-0.046939;0.016355;0.007939;-0.538574;-0.227051;0.612793;-0.137547;-0.747339;0.203551;-0.617360
28656;9.553357;-0.449090;-1.933249;-0.046192;0.019974;0.004623;-0.540527;-0.223633;0.612549;-0.137924;-0.747216;0.203791;-0.617344
28657;9.541434;-0.472388;-1.941718;-0.037605;0.016252;0.002282;-0.545166;-0.227295;0.614990;-0.138202;-0.747115;0.203975;-0.617344
28658;9.555832;-0.507678;-1.954791;-0.014910;0.009067;-0.001122;-0.549805;-0.225586;0.609131;-0.138382;-0.747069;0.204041;-0.617337
28659;9.549782;-0.519448;-1.959470;-0.002779;0.002546;0.001283;-0.534424;-0.221436;0.610352;-0.138459;-0.747003;0.204076;-0.617388
