// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.445259;-1.036245;-2.368993;0.019122;-0.000423;-0.005653;-0.705566;0.418457;-0.208496;0.584894;-0.326173;-0.717338;-0.192189
28598;9.444817;-0.997254;-2.407555;0.015532;-0.001966;-0.005005;-0.702881;0.421631;-0.205322;0.584916;-0.326071;-0.717386;-0.192115
28599;9.425479;-1.009017;-2.418921;0.008684;0.001018;-0.000286;-0.711182;0.418457;-0.200195;0.584943;-0.326031;-0.717395;-0.192066
28600;9.459842;-1.030992;-2.435177;0.006880;0.004195;-0.001913;-0.706299;0.418213;-0.198975;0.584983;-0.325979;-0.717391;-0.192046
28601;9.451935;-1.016529;-2.341920;0.001331;0.006949;0.000396;-0.702148;0.430664;-0.213135;0.585027;-0.325964;-0.717360;-0.192055
28602;9.485514;-1.025416;-2.350696;-0.006898;0.003701;-0.001990;-0.706055;0.425537;-0.204102;0.585026;-0.325980;-0.717337;-0.192116
28603;9.462040;-1.046784;-2.344549;-0.011063;-0.000029;-0.000746;-0.706787;0.419434;-0.204346;0.584994;-0.326028;-0.717323;-0.192187
28604;9.417614;-1.028426;-2.382198;-0.011885;-0.006436;0.000820;-0.706543;0.429932;-0.201416;0.584925;-0.326100;-0.717332;-0.192238
28605;9.431267;-1.048779;-2.404820;-0.007182;-0.011186;-0.001755;-0.708740;0.416016;-0.197266;0.584835;-0.326142;-0.717381;-0.192260
28606;9.443964;-1.056624;-2.420390;0.000203;-0.009936;0.000368;-0.715820;0.414795;-0.205078;0.584775;-0.326160;-0.717430;-0.192230
28607;9.431038;-1.087515;-2.369064;0.003703;-0.005630;0.000450;-0.704346;0.414551;-0.209961;0.584747;-0.326156;-0.717466;-0.192188
28608;9.471226;-1.090155;-2.361488;0.012652;-0.008289;0.003094;-0.703125;0.421387;-0.201172;0.584734;-0.326131;-0.717520;-0.192069
28609;9.501004;-1.088018;-2.305431;0.013911;-0.019190;-0.000050;-0.706299;0.419434;-0.200684;0.584656;-0.326100;-0.717636;-0.191925
28610;9.478455;-1.035954;-2.344603;0.004405;-0.026617;0.001806;-0.706055;0.419189;-0.204346;0.584518;-0.326139;-0.717762;-0.191807
28611;9.437793;-0.981762;-2.448210;0.001946;-0.015888;-0.002639;-0.713623;0.424316;-0.203125;0.584434;-0.326145;-0.717841;-0.191757
28612;9.391367;-1.012300;-2.491133;-0.002965;-0.008174;0.003713;-0.707275;0.416016;-0.208984;0.584385;-0.326199;-0.717864;-0.191729
28613;9.435662;-1.113729;-2.576439;0.002653;0.003435;0.007010;-0.712891;0.417725;-0.200928;0.584417;-0.326226;-0.717838;-0.191683
28614;9.396075;-1.116774;-2.488382;0.008410;0.002334;0.006041;-0.710693;0.420166;-0.208008;0.584440;-0.326233;-0.717840;-0.191592
28615;9.435381;-1.033768;-2.454102;0.007858;-0.004264;0.008468;-0.701660;0.418701;-0.201904;0.584423;-0.326275;-0.717868;-0.191466
28616;9.461565;-1.051613;-2.481087;0.019061;0.010643;0.005058;-0.711182;0.416016;-0.205078;0.584519;-0.326217;-0.717853;-0.191329
28617;9.465966;-1.068966;-2.449900;0.027996;0.019364;0.001720;-0.708008;0.416748;-0.203857;0.584673;-0.326083;-0.717829;-0.191177
28618;9.421234;-1.031196;-2.373790;0.033491;0.007064;0.005873;-0.699707;0.413086;-0.207031;0.584776;-0.325968;-0.717862;-0.190937
28619;9.418286;-0.995214;-2.352616;0.028633;-0.019271;0.006515;-0.705811;0.426758;-0.198242;0.584726;-0.325906;-0.718006;-0.190654
28620;9.420374;-0.974720;-2.366884;0.025830;-0.036459;0.010858;-0.715332;0.422119;-0.201660;0.584556;-0.325945;-0.718213;-0.190327
28621;9.431016;-0.982270;-2.481304;0.011855;-0.025872;0.017607;-0.709961;0.420410;-0.203125;0.584409;-0.326062;-0.718343;-0.190088
28622;9.448949;-1.008915;-2.529644;-0.006681;-0.007234;0.021810;-0.703857;0.424316;-0.199463;0.584335;-0.326251;-0.718342;-0.189996
28623;9.472472;-0.989332;-2.535113;-0.021338;0.018594;0.014874;-0.705078;0.425781;-0.197021;0.584364;-0.326440;-0.718206;-0.190098
28624;9.430451;-0.989153;-2.480716;-0.026134;0.018010;0.015134;-0.713623;0.426514;-0.204102;0.584358;-0.326662;-0.718074;-0.190230
28625;9.495749;-0.983539;-2.483662;-0.030612;0.011907;0.017843;-0.705322;0.429443;-0.203857;0.584287;-0.326928;-0.717974;-0.190367
28626;9.487259;-1.031909;-2.400709;-0.021831;0.018250;0.019862;-0.717773;0.424072;-0.209229;0.584301;-0.327157;-0.717832;-0.190466
28627;9.425731;-1.043360;-2.357888;-0.023150;0.017148;0.008128;-0.713379;0.426270;-0.198486;0.584260;-0.327293;-0.717761;-0.190626
28628;9.416694;-1.060548;-2.417562;-0.018422;0.003568;0.009214;-0.699463;0.430908;-0.203369;0.584153;-0.327458;-0.717747;-0.190723
28629;9.416193;-1.096371;-2.474709;-0.017855;0.002265;0.010690;-0.702148;0.423340;-0.205322;0.584107;-0.327645;-0.717677;-0.190807
28630;9.419802;-1.113438;-2.446471;-0.013072;-0.000645;0.012505;-0.711914;0.421143;-0.205078;0.584062;-0.327782;-0.717647;-0.190822
28631;9.371460;-1.145794;-2.427443;-0.010627;0.000006;0.010975;-0.710938;0.425293;-0.202881;0.583985;-0.327885;-0.717661;-0.190827
28632;9.422529;-1.157983;-2.373416;-0.008239;-0.010011;0.008711;-0.699219;0.427246;-0.192139;0.583848;-0.328013;-0.717720;-0.190804
28633;9.459752;-1.123206;-2.345826;-0.000193;-0.021865;0.008280;-0.715576;0.423096;-0.201416;0.583689;-0.328172;-0.717805;-0.190701
28634;9.475964;-1.122580;-2.380776;-0.006923;-0.022557;0.012029;-0.702148;0.422607;-0.201904;0.583480;-0.328319;-0.717931;-0.190612
28635;9.444331;-1.087773;-2.479915;-0.007660;-0.007825;0.008116;-0.708496;0.425537;-0.206299;0.583427;-0.328422;-0.717937;-0.190573
28636;9.404253;-1.099216;-2.496683;-0.005297;-0.004409;0.007317;-0.715332;0.419922;-0.202881;0.583379;-0.328508;-0.717946;-0.190540
28637;9.371185;-1.103916;-2.495918;-0.005849;-0.015421;0.011566;-0.702148;0.424072;-0.201660;0.583231;-0.328601;-0.718046;-0.190457
28638;9.475876;-1.100682;-2.494620;-0.014038;-0.011472;0.011997;-0.705078;0.420166;-0.196045;0.583137;-0.328779;-0.718049;-0.190423
28639;9.431321;-1.074796;-2.429402;-0.019876;0.000308;0.009804;-0.708008;0.427734;-0.200439;0.583056;-0.328939;-0.718029;-0.190468
28640;9.427909;-1.024632;-2.400910;-0.029201;-0.001039;0.011182;-0.706787;0.424561;-0.203857;0.582945;-0.329197;-0.717974;-0.190573
28641;9.453769;-1.041169;-2.429396;-0.027513;-0.001656;0.006585;-0.707520;0.422363;-0.205566;0.582859;-0.329369;-0.717936;-0.190682
28642;9.459465;-1.056402;-2.461818;-0.014325;0.001033;0.005415;-0.706299;0.424316;-0.201416;0.582835;-0.329428;-0.717917;-0.190722
28643;9.419457;-1.093119;-2.431217;-0.006458;0.007022;0.000721;-0.710449;0.426514;-0.200439;0.582842;-0.329451;-0.717891;-0.190764
28644;9.403176;-1.108079;-2.406364;0.002270;0.002687;0.002005;-0.717041;0.437256;-0.198242;0.582822;-0.329466;-0.717904;-0.190746
28645;9.432945;-1.140806;-2.405953;0.000552;-0.004798;0.003540;-0.707520;0.424072;-0.193604;0.582703;-0.329624;-0.717931;-0.190739
28646;9.459083;-1.083879;-2.415298;-0.006515;0.000957;0.005099;-0.705078;0.428467;-0.201660;0.582636;-0.329713;-0.717941;-0.190750
28647;9.429576;-1.099662;-2.479642;-0.004877;0.011205;0.004297;-0.708740;0.413818;-0.206055;0.582697;-0.329784;-0.717851;-0.190778
28648;9.430798;-1.113114;-2.484952;0.000380;0.014160;0.006491;-0.702393;0.428223;-0.197266;0.582823;-0.329631;-0.717828;-0.190748
