// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.842941;0.047610;0.190260;0.002591;0.012286;-0.014145;-0.711670;-0.375977;-0.314941;0.647897;0.297024;-0.634165;0.299735
28598;9.871727;0.032422;0.204829;0.005286;0.010545;-0.009875;-0.712891;-0.373779;-0.312988;0.647964;0.297078;-0.634070;0.299736
28599;9.830838;0.005304;0.243699;0.009452;0.012109;-0.009176;-0.715820;-0.375244;-0.310059;0.648025;0.297146;-0.633962;0.299768
28600;9.828100;0.049089;0.257714;0.008516;0.008872;-0.010896;-0.712402;-0.375977;-0.306885;0.648078;0.297227;-0.633865;0.299777
28601;9.845045;0.059499;0.232391;-0.001360;0.006411;-0.007976;-0.710449;-0.362549;-0.318359;0.648137;0.297244;-0.633813;0.299743
28602;9.842743;0.055629;0.198136;-0.004590;0.008081;-0.006951;-0.711426;-0.373535;-0.311035;0.648210;0.297235;-0.633761;0.299703
28603;9.839907;0.022772;0.210796;-0.004864;0.010817;-0.007224;-0.713379;-0.375000;-0.315430;0.648300;0.297218;-0.633695;0.299666
28604;9.835257;0.017980;0.231777;-0.001971;0.009624;-0.006914;-0.714600;-0.363037;-0.310791;0.648375;0.297218;-0.633628;0.299645
28605;9.818775;0.039257;0.212976;-0.003977;0.004866;-0.008008;-0.716797;-0.375977;-0.308838;0.648433;0.297221;-0.633589;0.299597
28606;9.798597;0.040528;0.209061;-0.007744;0.005774;-0.006669;-0.724365;-0.379639;-0.315918;0.648502;0.297195;-0.633558;0.299540
28607;9.850852;0.011123;0.168654;-0.010163;0.005467;-0.005684;-0.711426;-0.380615;-0.322266;0.648573;0.297150;-0.633537;0.299476
