// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;9.368375;-2.354480;-1.567639;-0.003102;-0.000319;-0.013657;-0.540527;0.654785;-0.008057;0.549922;-0.548340;-0.528597;-0.342776
28598;9.389859;-2.330434;-1.554435;-0.005546;0.003473;-0.016465;-0.539795;0.654541;-0.006836;0.549865;-0.548283;-0.528640;-0.342891
28599;9.377978;-2.317390;-1.534759;-0.008209;0.002397;-0.016831;-0.548584;0.654785;-0.002197;0.549789;-0.548241;-0.528682;-0.343015
28600;9.385143;-2.332068;-1.565310;-0.007352;0.003600;-0.015129;-0.540283;0.654053;-0.001465;0.549728;-0.548197;-0.528714;-0.343134
28601;9.381259;-2.354646;-1.565828;-0.014314;0.005594;-0.011619;-0.540527;0.668457;-0.013184;0.549654;-0.548195;-0.528701;-0.343277
28602;9.381952;-2.352212;-1.565333;-0.016378;0.008444;-0.014388;-0.542236;0.656494;-0.006836;0.549575;-0.548181;-0.528681;-0.343454
28603;9.385038;-2.349589;-1.585601;-0.016136;0.003567;-0.010625;-0.543701;0.655273;-0.005859;0.549487;-0.548198;-0.528667;-0.343591
28604;9.383182;-2.347507;-1.565028;-0.010719;0.003198;-0.014640;-0.543457;0.660645;-0.002197;0.549410;-0.548173;-0.528689;-0.343720
28605;9.385856;-2.320368;-1.543591;-0.011363;0.002646;-0.012840;-0.543213;0.654297;0.000732;0.549333;-0.548161;-0.528703;-0.343841
28606;9.392914;-2.335388;-1.574453;-0.014729;0.002236;-0.012348;-0.550293;0.650146;-0.010986;0.549241;-0.548166;-0.528706;-0.343974
28607;9.387324;-2.340224;-1.585918;-0.019183;0.003435;-0.011038;-0.541260;0.648438;-0.011963;0.549137;-0.548194;-0.528686;-0.344126
28608;9.400109;-2.323647;-1.563634;-0.018158;0.003048;-0.012800;-0.541260;0.652344;-0.002686;0.549030;-0.548212;-0.528679;-0.344279
28609;9.371766;-2.307592;-1.556555;-0.017440;0.004538;-0.013319;-0.542480;0.655029;-0.003418;0.548931;-0.548219;-0.528670;-0.344439
28610;9.391105;-2.308229;-1.564890;-0.013246;0.001845;-0.012792;-0.537842;0.653076;-0.005859;0.548841;-0.548216;-0.528683;-0.344568
28611;9.422636;-2.294783;-1.550693;-0.019952;0.005328;-0.011125;-0.552002;0.658691;-0.005127;0.548741;-0.548239;-0.528654;-0.344735
28612;9.411314;-2.264415;-1.561995;-0.024653;0.007182;-0.007633;-0.543701;0.651367;-0.009521;0.548636;-0.548291;-0.528589;-0.344920
28613;9.408151;-2.269379;-1.593519;-0.033626;0.010799;-0.005955;-0.546875;0.655518;-0.001221;0.548510;-0.548377;-0.528476;-0.345156
28614;9.364728;-2.311049;-1.598727;-0.032896;0.014447;-0.006131;-0.548340;0.655273;-0.007324;0.548396;-0.548449;-0.528353;-0.345410
