// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3
28597;-0.068846;9.678426;1.369851;0.018186;0.001312;-0.009010;0.387939;-0.629150;-0.409912;0.706964;0.615462;-0.225971;-0.265227
28598;-0.063052;9.758737;1.304021;0.008013;0.003349;-0.007283;0.386719;-0.629150;-0.409424;0.706913;0.615531;-0.225932;-0.265238
28599;-0.010200;9.709124;1.349971;-0.055798;0.002092;-0.004495;0.383057;-0.627686;-0.405029;0.707193;0.615215;-0.225775;-0.265358
28600;-0.066062;9.613048;1.348982;-0.064194;0.024837;-0.013144;0.389404;-0.628418;-0.401367;0.707539;0.614916;-0.225420;-0.265428
28601;-0.164014;9.597664;1.402346;0.002621;0.011153;-0.018690;0.388672;-0.615967;-0.414551;0.707505;0.614992;-0.225265;-0.265475
28602;-0.091045;9.728778;1.344585;0.018937;-0.016675;-0.012614;0.385742;-0.625977;-0.406494;0.707348;0.615091;-0.225339;-0.265601
28603;-0.053532;9.760915;1.343494;-0.032011;-0.002085;-0.009258;0.387451;-0.628662;-0.408203;0.707486;0.614918;-0.225232;-0.265727
28604;-0.088967;9.643428;1.389115;-0.093027;0.005213;-0.009286;0.385010;-0.616455;-0.409180;0.707947;0.614403;-0.224948;-0.265929
28605;-0.105746;9.579170;1.388594;-0.062930;-0.003704;-0.013079;0.382080;-0.630615;-0.405029;0.708230;0.614052;-0.224763;-0.266143
28606;-0.106781;9.673235;1.432719;-0.000941;-0.007570;-0.007830;0.376465;-0.632568;-0.409912;0.708198;0.614050;-0.224765;-0.266231
28607;-0.066668;9.702795;1.409254;0.012478;-0.014498;0.001426;0.385742;-0.628174;-0.415283;0.708106;0.614094;-0.224883;-0.266275
28608;-0.076479;9.714956;1.396320;-0.011807;-0.002397;0.007653;0.391602;-0.625732;-0.407959;0.708175;0.614009;-0.224908;-0.266266
28609;-0.099512;9.649927;1.374703;-0.015738;-0.012062;0.009990;0.385010;-0.626465;-0.408936;0.708249;0.613877;-0.224996;-0.266298
28610;-0.052485;9.583367;1.411993;-0.035553;-0.014488;0.006935;0.389648;-0.625488;-0.412598;0.708412;0.613631;-0.225037;-0.266398
28611;-0.083493;9.570111;1.447086;-0.012859;-0.007040;-0.000390;0.378418;-0.618896;-0.410400;0.708457;0.613548;-0.225050;-0.266460
28612;-0.024865;9.645222;1.415188;0.064081;-0.040270;0.004615;0.382812;-0.629150;-0.414795;0.708060;0.613832;-0.225454;-0.266519
28613;-0.009166;9.675076;1.285397;0.077303;-0.025285;0.006134;0.377197;-0.626465;-0.408203;0.707628;0.614223;-0.225812;-0.266462
28614;-0.104978;9.713414;1.275749;0.031997;0.001403;0.001428;0.380127;-0.626221;-0.413818;0.707460;0.614423;-0.225897;-0.266374
28615;-0.116002;9.691272;1.328646;-0.006694;-0.016770;0.000094;0.388916;-0.633301;-0.410645;0.707444;0.614367;-0.225996;-0.266461
28616;-0.024464;9.677222;1.389674;-0.004782;-0.014488;-0.007720;0.379883;-0.631104;-0.410889;0.707399;0.614354;-0.226041;-0.266574
28617;-0.050329;9.745512;1.352632;0.064684;-0.006048;-0.008447;0.385742;-0.632324;-0.407959;0.707014;0.614764;-0.226197;-0.266517
28618;-0.102627;9.861520;1.347422;0.014208;-0.007350;-0.006747;0.392822;-0.635254;-0.410400;0.706887;0.614877;-0.226253;-0.266546
28619;-0.117608;9.772342;1.364865;-0.081809;-0.025143;-0.008801;0.384766;-0.616943;-0.402588;0.707208;0.614400;-0.226183;-0.266853
28620;-0.049444;9.553128;1.385018;-0.120455;-0.031451;-0.020025;0.375977;-0.624512;-0.407471;0.707703;0.613680;-0.225993;-0.267359
28621;-0.036638;9.587657;1.435453;-0.038588;-0.019442;-0.026822;0.379639;-0.626465;-0.413330;0.707777;0.613484;-0.225909;-0.267682
28622;-0.020938;9.664263;1.344135;0.011434;-0.048090;-0.022834;0.388428;-0.622314;-0.408691;0.707554;0.613509;-0.226128;-0.268028
28623;0.068457;9.672992;1.362416;-0.056439;-0.027131;-0.022251;0.386475;-0.617920;-0.406738;0.707723;0.613188;-0.226050;-0.268384
28624;0.015852;9.613239;1.412099;-0.106379;0.016276;-0.025543;0.378418;-0.619141;-0.414795;0.708226;0.612667;-0.225597;-0.268627
28625;-0.031531;9.648986;1.392393;-0.004945;-0.012894;-0.023560;0.383301;-0.615967;-0.412598;0.708161;0.612658;-0.225595;-0.268821
28626;0.061256;9.770562;1.360618;0.001328;-0.028626;-0.012814;0.375977;-0.623535;-0.418457;0.708062;0.612635;-0.225734;-0.269018
28627;0.055401;9.801126;1.385432;-0.104625;0.036786;-0.015156;0.377686;-0.619873;-0.409668;0.708610;0.612135;-0.225297;-0.269080
28628;-0.080953;9.644346;1.437393;-0.118127;0.032793;-0.001776;0.393066;-0.614258;-0.412598;0.709250;0.611535;-0.224900;-0.269090
28629;-0.018251;9.730827;1.513318;-0.015292;-0.014027;0.010964;0.388916;-0.621826;-0.417480;0.709318;0.611424;-0.225006;-0.269075
28630;0.011192;9.715676;1.394513;-0.023994;0.013074;0.007112;0.379150;-0.621582;-0.417236;0.709466;0.611324;-0.224962;-0.268948
28631;-0.009392;9.700601;1.426868;-0.110351;0.050017;0.003657;0.378174;-0.618408;-0.413574;0.710111;0.610785;-0.224534;-0.268828
28632;-0.044912;9.610416;1.474151;-0.101160;0.038974;0.011867;0.393066;-0.617920;-0.406738;0.710707;0.610265;-0.224219;-0.268696
28633;-0.075903;9.595106;1.519506;-0.076811;0.037033;0.008622;0.377686;-0.622070;-0.416016;0.711175;0.609947;-0.223849;-0.268490
28634;-0.089132;9.610782;1.559557;-0.070550;0.035768;0.004369;0.390381;-0.623535;-0.417969;0.711585;0.609615;-0.223612;-0.268355
28635;-0.069123;9.624837;1.572021;-0.096001;0.025201;0.011971;0.384033;-0.615234;-0.423340;0.712129;0.609123;-0.223356;-0.268241
28636;-0.048115;9.701803;1.488100;-0.008764;-0.004783;0.015508;0.376709;-0.620117;-0.419434;0.712197;0.609015;-0.223508;-0.268181
28637;-0.043643;9.696292;1.449540;-0.021786;0.000283;0.007295;0.388672;-0.617676;-0.419189;0.712305;0.608867;-0.223608;-0.268145
28638;0.006598;9.608608;1.453494;-0.115692;-0.000152;0.005771;0.385010;-0.620605;-0.415039;0.712894;0.608198;-0.223402;-0.268269
